Provided_col_name,final_col_name,sed_tab,dtype,astropy_unit_str,doc_description,Add Comments here!
best.dust.gamma,,,,,,
best.dust.qpah,,,,,,
best.dust.umean,,,,,,
best.dust.umin,,,,,,
best.nebular.f_dust,,,,,,
best.nebular.f_esc,,,,,,
best.nebular.lines_width,,,,,,
best.nebular.logU,,,,,,
best.nebular.ne,,,,,,
best.nebular.zgas,,,,,,
best.sfh.age,PHANGS_SED_AGE,1,float,Myr,,
best.sfh.burst_age,,,,,,
best.sfh.f_burst,,,,,,
best.sfh.tau_burst,,,,,,
best.sfh.tau_main,,,,,,
best.stellar.age_m_star,,,,,,
best.stellar.beta0,,,,,,
best.stellar.imf,,,,,,
best.stellar.metallicity,,,,,,
best.stellar.old_young_separation_age,,,,,,
best.universe.age,,,,,,
best.universe.luminosity_distance,,,,,,
best.universe.redshift,,,,,,
best.dust.luminosity,,,,,,
best.dust.mass,,,,,,
best.sfh.integrated,,,,,,
best.sfh.sfr,,,,,,
best.sfh.sfr100Myrs,,,,,,
best.sfh.sfr10Myrs,,,,,,
best.stellar.lum,,,,,,
best.stellar.lum_ly,,,,,,
best.stellar.lum_ly_old,,,,,,
best.stellar.lum_ly_young,,,,,,
best.stellar.lum_old,,,,,,
best.stellar.lum_young,,,,,,
best.stellar.m_gas,,,,,,
best.stellar.m_gas_old,,,,,,
best.stellar.m_gas_young,,,,,,
best.stellar.m_star,PHANGS_SED_MASS,1,float,M_sun,,
best.stellar.m_star_old,,,,,,
best.stellar.m_star_young,,,,,,
best.stellar.n_ly,,,,,,
best.stellar.n_ly_old,,,,,,
best.stellar.n_ly_young,,,,,,
best.F275W_UVIS_CHIP2,,,,,,
best.F336W_UVIS_CHIP2,,,,,,
best.F438W_UVIS_CHIP2,,,,,,
best.F555W_UVIS_CHIP2,,,,,,
best.HST_ACS_WFC.F658N,,,,,,
best.F814W_UVIS_CHIP2,,,,,,
best.jwst.nircam.F200W,,,,,,
best.jwst.nircam.F300M,,,,,,
best.jwst.nircam.F335M,,,,,,
best.jwst.nircam.F360M,,,,,,
best.jwst.miri.F770W,,,,,,
best.jwst.miri.F1000W,,,,,,
best.jwst.miri.F1130W,,,,,,
best.jwst.miri.F2100W,,,,,,
id,,,,,,
grid,,,,,,
ra,,,,,,
dec,,,,,,
EW_658,,,,,,
